postcode;n;longitude;latitude
1502;206;4.827459699999999;52.4481955
1503;194;4.8387858;52.4463974
1504;154;4.8501344;52.435251
1505;133;4.8482729;52.4246472
1506;338;4.818048399999999;52.4419029
1507;246;4.8039234;52.4371368
1508;119;4.8208248;52.4578139
1509;175;4.826445000000001;52.4709411
1511;206;4.875590499999999;52.4475569
1521;310;4.7876374;52.4965651
1525;19;4.782821999999999;52.5168055
1531;289;4.8301564;52.4921651
1534;18;4.8206353;52.5139351
1536;13;4.7931651;52.5284174
1541;315;4.801010499999999;52.4586197
1544;227;4.7914848;52.4803769
1546;18;4.860354099999999;52.5123108
1551;127;4.769925;52.4518646
1561;224;4.7678077;52.49736559999999
1562;225;4.756419699999999;52.508514
1566;315;4.7396672;52.4691062
1567;99;4.748037699999999;52.4888077
1601;247;5.281116100000001;52.70044919999999
1602;256;5.2746228;52.7195107
1606;99;5.210901;52.668708
1607;40;5.1687692;52.6598341
1608;33;5.1552609;52.6416682
1609;4;5.1963522;52.64523089999999
1611;217;5.2437398;52.6994274
1613;183;5.219784799999999;52.6978035
1614;50;5.2035424;52.70119889999999
1616;181;5.1747576;52.69173499999999
1617;43;5.142164;52.679751
1619;164;5.2229889;52.7325258
1621;177;5.0655858;52.6388396
1622;182;5.0317573;52.6376026
1623;71;5.0732345;52.6438695
1624;128;5.0570439;52.6472404
1625;218;5.057083;52.6566152
1627;7;5.099435800000001;52.6400661
1628;319;5.089475;52.6498702
1631;11;4.9836145;52.6034893
1633;71;4.9693748;52.6174735
1634;11;5.011709800000001;52.61970640000001
1636;36;4.8905161;52.6073695
1641;22;4.940864899999999;52.6454451
1642;1;4.9508603;52.65440299999999
1643;11;4.9370628;52.6616759
1645;76;4.9075913;52.6280815
1646;5;4.8762533;52.6213428
1647;60;4.9913066;52.6460097
1648;60;4.944662699999999;52.62921799999999
1652;10;4.9818225;52.6678405
1654;20;5.0429702;52.70813829999999
1655;22;5.002881599999999;52.7098366
1657;51;5.0172623;52.73336219999999
1658;6;5.014913099999999;52.7482137
1661;9;4.9771557;52.7350522
1662;6;4.988593499999999;52.72384479999999
1663;4;4.9988477;52.7200612
1671;230;5.1063143;52.75906939999999
1674;49;5.075675599999999;52.75770139999999
1676;24;5.0488203;52.7400692
1678;25;5.0965564;52.72461699999999
1679;58;5.0678335;52.7151218
1681;9;5.1538239;52.70605219999999
1682;5;5.1102716;52.6985539
1683;7;5.1384079;52.7070565
1684;13;5.1107099;52.6918332
1685;9;5.055960100000001;52.6734097
1686;5;5.0756817;52.6822817
1687;114;5.012368599999999;52.6879911
1688;49;5.0629422;52.6885221
1689;275;5.0657109;52.66696409999999
1691;15;5.1002922;52.7083673
1692;2;5.1242614;52.7194003
1693;176;5.1539604;52.72481759999999
1695;97;5.0847617;52.6607893
1696;36;5.1286693;52.6615765
1697;20;5.124714;52.6403147
1701;203;4.8618939;52.6728203
1702;190;4.8486326;52.6546114
1703;302;4.822960699999999;52.6610159
1704;155;4.8599269;52.6996984
1705;243;4.8201698;52.6450591
1711;40;4.8847556;52.65044959999999
1713;139;4.9018481;52.6711749
1715;82;4.9589823;52.6902363
1716;60;4.9380218;52.70451310000001
1718;93;4.9380239;52.72327989999999
1719;16;4.9523446;52.746819
1721;121;4.8124467;52.6775172
1722;158;4.7943409;52.6889687
1723;138;4.796193199999999;52.6996133
1724;89;4.784729899999999;52.7107974
1731;78;4.917024899999999;52.7563354
1732;25;4.8788354;52.76864279999999
1733;75;4.8998723;52.7355883
1734;13;4.886553999999999;52.7173684
1735;54;4.8617133;52.747886
1736;12;4.827384299999999;52.753311
1738;70;4.8179539;52.72821829999999
1741;295;4.8157911;52.79268399999999
1742;178;4.7987175;52.77191
1744;54;4.7550107;52.7522106
1746;47;4.7912086;52.7480724
1747;86;4.7617836;52.7331678
1749;165;4.736186399999999;52.72078759999999
1751;59;4.75087;52.8060354
1752;19;4.7186884;52.7751192
1753;21;4.6938485;52.7868358
1754;24;4.7017186;52.7543344
1755;50;4.6664572;52.7637724
1756;61;4.7487923;52.832963
1757;23;4.806155299999999;52.8145467
1759;93;4.7181362;52.8502964
1761;200;4.8403902;52.8561196
1764;87;4.819217099999999;52.8892202
1766;62;4.8557727;52.828636
1767;31;4.8931155;52.7922049
1768;27;4.8558771;52.7910507
1769;8;4.8282842;52.7680278
1771;158;5.0472762;52.8421333
1773;15;5.0794182;52.8421055
1774;57;4.970611;52.866859
1775;111;4.970535900000001;52.7916713
1777;163;4.9783312;52.90953709999999
1778;31;4.9245901;52.892961
1779;83;5.0398879;52.9311418
1781;296;4.776747299999999;52.9554564
1782;293;4.753722499999999;52.9590689
1783;104;4.728998499999999;52.93316369999999
1784;256;4.7577762;52.92394969999999
1785;238;4.7768535;52.9366276
1786;30;4.784591499999999;52.9228732
1787;39;4.727298;52.9036625
1788;267;4.741736;52.8896508
1791;230;4.780037;53.0522133
1792;48;4.843563;53.0469512
1793;27;4.8125998;53.0832262
1794;66;4.874270399999999;53.0861057
1795;65;4.827811;53.13112539999999
1796;80;4.7586682;53.0853945
1797;51;4.7552065;53.02628190000001
1811;184;4.7490937;52.63052339999999
1812;19;4.7539511;52.61025129999999
1813;193;4.7557845;52.6208849
1814;240;4.7406288;52.6201537
1815;196;4.7353654;52.6283955
1816;216;4.7178051;52.63311179999999
1817;112;4.7338128;52.64853970000001
1821;38;4.7652271;52.6271985
1822;54;4.7802998;52.6466739
1823;150;4.7651759;52.6365716
1824;173;4.7547042;52.64368650000001
1825;247;4.7503556;52.6572515
1826;157;4.7636417;52.65671829999999
1827;233;4.7640492;52.6687557
1829;110;4.7761048;52.6321153
1831;71;4.7573487;52.6784013
1832;9;4.760159499999999;52.6849868
1834;148;4.7830679;52.6626324
1841;40;4.8240904;52.6100929
1842;18;4.8411026;52.6308166
1843;22;4.8734684;52.58666059999999
1844;9;4.809959;52.5865807
1846;10;4.7768957;52.5691903
1847;6;4.7842644;52.6117078
1851;287;4.7143007;52.59310199999999
1852;233;4.689614499999999;52.6047859
1861;200;4.6853948;52.6584977
1862;178;4.7288726;52.6782009
1865;27;4.643796399999999;52.6494225
1871;153;4.666058;52.702125
1873;41;4.6734425;52.725957
1901;363;4.6484317;52.5582535
1902;231;4.6787877;52.5410135
1906;158;4.7088553;52.5612156
1911;290;4.729863;52.5282898
1921;126;4.735328400000001;52.5601601
1931;146;4.6298312;52.6258727
1934;98;4.6799743;52.6265801
1935;71;4.6480853;52.59571829999999
1941;92;4.657134;52.48173269999999
1942;57;4.6472432;52.4821215
1943;128;4.6396708;52.4864259
1944;183;4.6490303;52.4927381
1945;162;4.6626715;52.4948735
1946;95;4.6754187;52.4916987
1947;76;4.6679233;52.4866509
1948;63;4.6811921;52.4767764
1949;55;4.617041;52.4899825
